"group","freg","mean","sd","GO"
"All",-100,0.0199447423526427,0.0437893469757778,"GO:0016255"
"All",-99,0.0195011401792789,0.0434842277989326,"GO:0016255"
"All",-98,0.0188925263572995,0.0427314276245817,"GO:0016255"
"All",-97,0.0185975409019861,0.0422095537395706,"GO:0016255"
"All",-96,0.0184117452956119,0.0419301387506273,"GO:0016255"
"All",-95,0.0182763791347126,0.041698925054944,"GO:0016255"
"All",-94,0.0183714753123495,0.041750798286306,"GO:0016255"
"All",-93,0.018285553060264,0.0415897752891739,"GO:0016255"
"All",-92,0.0183990153952726,0.0418626218964955,"GO:0016255"
"All",-91,0.0183368021294831,0.0418521025539049,"GO:0016255"
"All",-90,0.0184129287521787,0.0419960536069159,"GO:0016255"
"All",-89,0.0185223862507542,0.042027727055213,"GO:0016255"
"All",-88,0.0185766679686495,0.0421391159147307,"GO:0016255"
"All",-87,0.0185978220605289,0.0422237588885653,"GO:0016255"
"All",-86,0.0185154753094531,0.0421707464533147,"GO:0016255"
"All",-85,0.0186354635425468,0.0422572806062372,"GO:0016255"
"All",-84,0.0185010484646521,0.0420386050790833,"GO:0016255"
"All",-83,0.018627922011345,0.0423248109783512,"GO:0016255"
"All",-82,0.0187146221047375,0.0424325184904348,"GO:0016255"
"All",-81,0.0189225637403907,0.0425670502546999,"GO:0016255"
"All",-80,0.0188783003957432,0.0425601028428297,"GO:0016255"
"All",-79,0.01885659224107,0.0425268083083422,"GO:0016255"
"All",-78,0.0189494763387018,0.0425403689750925,"GO:0016255"
"All",-77,0.0191313608532606,0.0426872596663215,"GO:0016255"
"All",-76,0.0191744797845208,0.0426846767597788,"GO:0016255"
"All",-75,0.0192915415266664,0.042952217167804,"GO:0016255"
"All",-74,0.0192106567249031,0.0426717398763243,"GO:0016255"
"All",-73,0.0193001282790254,0.0429897014698162,"GO:0016255"
"All",-72,0.0193767757443865,0.0430322584148142,"GO:0016255"
"All",-71,0.0194254222053926,0.0430665300168887,"GO:0016255"
"All",-70,0.0195168103238977,0.0433160916058621,"GO:0016255"
"All",-69,0.0194616098463617,0.0432600668195154,"GO:0016255"
"All",-68,0.0195180074506732,0.0432742806523093,"GO:0016255"
"All",-67,0.0195099259617094,0.0431902654469887,"GO:0016255"
"All",-66,0.0197699943254044,0.0435179621904532,"GO:0016255"
"All",-65,0.0198115684291574,0.0436476459311331,"GO:0016255"
"All",-64,0.0197687555101699,0.0435725922520238,"GO:0016255"
"All",-63,0.0198864575421616,0.0437287438520351,"GO:0016255"
"All",-62,0.0199726400210159,0.0436945721653945,"GO:0016255"
"All",-61,0.0199345595096962,0.0435472566243162,"GO:0016255"
"All",-60,0.0200472749439868,0.0438365483709937,"GO:0016255"
"All",-59,0.0200636179133147,0.0440040776469008,"GO:0016255"
"All",-58,0.0201147563574719,0.0439037145040958,"GO:0016255"
"All",-57,0.0201364661498095,0.0439276045456824,"GO:0016255"
"All",-56,0.0202032418400205,0.0440690728002469,"GO:0016255"
"All",-55,0.0204707278950948,0.0441157511232748,"GO:0016255"
"All",-54,0.0204563860203815,0.0441503906025296,"GO:0016255"
"All",-53,0.0204002138789787,0.0440479966173066,"GO:0016255"
"All",-52,0.0203471326879817,0.0440105086404358,"GO:0016255"
"All",-51,0.0204086130860998,0.0438465239015078,"GO:0016255"
"All",-50,0.0206442521431712,0.04453461343934,"GO:0016255"
"All",-49,0.0207534827563618,0.0446150384690531,"GO:0016255"
"All",-48,0.0207331827270515,0.0446747173377024,"GO:0016255"
"All",-47,0.0205882330513455,0.0443086166297209,"GO:0016255"
"All",-46,0.0207860888561098,0.0445495448558305,"GO:0016255"
"All",-45,0.0209478914119185,0.0447222894361697,"GO:0016255"
"All",-44,0.0209193501793035,0.0449484985419139,"GO:0016255"
"All",-43,0.0210695175585253,0.0452154741146878,"GO:0016255"
"All",-42,0.0209978016587016,0.0450471949683277,"GO:0016255"
"All",-41,0.0209710650116311,0.0446896701342617,"GO:0016255"
"All",-40,0.0207941748471441,0.0447433983225202,"GO:0016255"
"All",-39,0.0208893770876377,0.0448066902000855,"GO:0016255"
"All",-38,0.0210479724278385,0.0451034918447807,"GO:0016255"
