"Exp","Condition"
2.14038598,"Donor_wo"
0.408420682,"Donor_wo"
0.631723477,"Donor_wo"
-0.840798452,"Donor_wo"
0.614925973,"Donor_wo"
3.450722512,"Donor_wo"
-0.666292258,"Donor_wo"
0.73565518,"Donor_wo"
-0.565082763,"Donor_wo"
-0.195687354,"Donor_wo"
0.512760986,"Donor_wo"
0.421750959,"Donor_wo"
-1.016424959,"Donor_wo"
0.526786538,"Donor_wo"
0.246772775,"Donor_wo"
-0.687903346,"Donor_wo"
0.216477217,"Donor_wo"
-0.584996396,"Donor_wo"
0.126972879,"Donor_wo"
-0.811911539,"Donor_wo"
-0.507095502,"Donor_wo"
2.752860799,"Donor_wo"
0.403302439,"Donor_wo"
0.013156916,"Donor_wo"
0.710300744,"Donor_wo"
2.66431648,"Donor_wo"
-0.186218799,"Donor_wo"
0.765739284,"Donor_w"
-0.286622521,"Donor_wo"
0.822258889,"Donor_wo"
0.171811659,"Donor_wo"
0.11710795,"Donor_wo"
0.939890827,"Donor_wo"
-0.151369341,"Donor_wo"
0.125445158,"Donor_wo"
1.547221456,"Donor_wo"
0.343610142,"Donor_wo"
-0.407478809,"Donor_wo"
-0.0213373840000001,"Donor_wo"
-0.1919797,"Donor_wo"
-0.246237849,"Donor_wo"
-0.0621282799999999,"Donor_wo"
-0.115472494,"Donor_wo"
-0.391158351,"Donor_wo"
-0.352186807,"Donor_wo"
1.489320401,"Donor_wo"
-0.189310628,"Donor_wo"
-0.388459653,"Donor_wo"
0.236308058,"Donor_wo"
-0.0353753940000001,"Donor_wo"
0.183769067,"Donor_wo"
1.981877886,"Donor_wo"
1.304587914,"Donor_wo"
-0.0393345440000001,"Donor_wo"
0.236951004,"Donor_wo"
0.867902926,"Donor_wo"
0.557017944,"Donor_wo"
1.69316786,"Donor_wo"
0.744580911,"Donor_wo"
0.318849325,"Donor_wo"
-0.599049005,"Donor_wo"
0.381497525,"Donor_wo"
-0.223938108,"Donor_wo"
-0.387814447,"Donor_wo"
-0.824230829,"Donor_wo"
-0.546826258,"Donor_wo"
0.690480855,"Donor_wo"
0.182882214,"Donor_wo"
-0.778347439,"Donor_wo"
-0.703758032,"Donor_wo"
-0.232816495,"Donor_wo"
-0.472657831,"Donor_wo"
0.836393223,"Donor_wo"
1.360798779,"Donor_wo"
0.450726845,"Donor_wo"
-0.697684232,"Donor_wo"
1.093108557,"Donor_wo"
-0.626947074,"Donor_wo"
1.353977508,"Donor_wo"
-0.0620759900000001,"Donor_wo"
-0.057697542,"Donor_wo"
-0.271869235,"Donor_wo"
-0.426115629,"Donor_wo"
0.823160293,"Donor_wo"
0.0471539970000001,"Donor_wo"
-0.5635654265,"Donor_wo"
-1.0254883755,"Donor_wo"
-0.202351451,"Donor_wo"
-0.825904945,"Donor_wo"
2.7226369,"Donor_wo"
-0.129828691,"Donor_wo"
-1.1911723775,"Donor_wo"
-0.92468261,"Donor_wo"
0.1401225315,"Donor_wo"
0.8861827225,"Donor_wo"
0.308694141,"Donor_wo"
-0.0172167070000001,"Donor_wo"
0.7042737045,"Donor_wo"
-1.0916459555,"Donor_wo"
1.1679971,"Donor_wo"
0.446176494,"Donor_wo"
-1.209773012,"Donor_wo"
0.8599364945,"Donor_wo"
1.9076239995,"Donor_wo"
0.68699407,"Donor_wo"
0.388233776,"Donor_wo"
2.6684516945,"Donor_wo"
1.670322054,"Donor_wo"
3.1416744375,"Donor_wo"
-1.0720589895,"Donor_wo"
-0.859731921,"Donor_wo"
0.1660989855,"Donor_wo"
0.973787254,"Donor_wo"
1.5074693775,"Donor_wo"
0.300854513,"Donor_wo"
1.662886311,"Donor_wo"
0.3248642345,"Donor_wo"
0.0581283965,"Donor_wo"
0.952030611,"Donor_wo"
0.6219920995,"Donor_wo"
0.2782119435,"Donor_wo"
0.2069310095,"Donor_wo"
1.1769276975,"Donor_wo"
3.5728990385,"Donor_w"
0.5755450475,"Donor_wo"
0.5696085875,"Donor_wo"
-0.4464948955,"Donor_wo"
2.3615044465,"Donor_wo"
2.0249655595,"Donor_wo"
-0.915943141,"Donor_wo"
-0.4139208265,"Donor_wo"
-0.7542674875,"Donor_wo"
-0.8989708445,"Donor_wo"
2.1359446195,"Donor_wo"
1.723117039,"Donor_wo"
1.607638975,"Donor_wo"
1.233693107,"Donor_wo"
-0.491205036,"Donor_wo"
1.8990954215,"Donor_wo"
-0.7007459265,"Donor_wo"
2.1165891035,"Donor_wo"
-0.7651376635,"Donor_wo"
-0.2251521285,"Donor_wo"
-0.9769090395,"Donor_wo"
-0.769461983,"Donor_wo"
3.3651647245,"Donor_wo"
2.072697905,"Donor_wo"
0.47739006,"Donor_wo"
0.357342692,"Donor_wo"
-0.5783097665,"Donor_wo"
0.160440431,"Donor_wo"
0.327820172,"Donor_wo"
1.6461947285,"Donor_wo"
-0.758733703,"Donor_wo"
0.3475193135,"Donor_wo"
-0.893321778,"Donor_wo"
-0.540380577,"Donor_wo"
-1.3247071045,"Donor_wo"
-0.9518962745,"Donor_wo"
0.2403013225,"Donor_wo"
2.7254144215,"Donor_wo"
-1.350099346,"Donor_wo"
0.1749316955,"Donor_wo"
2.1921969945,"Donor_wo"
-0.728112287,"Donor_wo"
-0.7056638905,"Donor_wo"
2.1783446275,"Donor_wo"
1.599362989,"Donor_wo"
0.7037318215,"Donor_wo"
0.764179933,"Donor_wo"
0.3061051135,"Donor_wo"
0.9669368885,"Donor_wo"
0.967198408,"Donor_wo"
-0.4388387565,"Donor_wo"
-0.881751369,"Donor_wo"
1.2904695845,"Donor_wo"
0.869994816,"Donor_wo"
-0.2404603695,"Donor_wo"
-1.1878890495,"Donor_wo"
-0.551731816,"Donor_wo"
0.00234932900000007,"Donor_wo"
1.9480956265,"Donor_wo"
0.103377041,"Donor_wo"
0.913343086,"Donor_wo"
-0.70309586,"Donor_wo"
-0.5929454385,"Donor_wo"
-0.859346458,"Donor_wo"
1.8044737455,"Donor_wo"
1.9709035875,"Donor_wo"
-0.5428830595,"Donor_wo"
-0.3162419365,"Donor_wo"
-0.3685286875,"Donor_wo"
-0.1600020025,"Donor_wo"
-0.0618525714999999,"Donor_wo"
-0.3426714705,"Donor_wo"
2.3419253295,"Donor_wo"
-0.644289105,"Donor_wo"
0.736539037,"Donor_wo"
-0.156873021,"Donor_wo"
0.6200564315,"Donor_wo"
0.88194246,"Donor_wo"
2.731510932,"Donor_wo"
0.3013213315,"Donor_wo"
0.566304181,"Donor_wo"
4.641486855,"Donor_w"
-0.944558479,"Donor_wo"
1.6765540755,"Donor_wo"
0.1166468095,"Donor_wo"
0.1645711065,"Donor_wo"
1.1895035905,"Donor_w"
-0.116174255,"Donor_wo"
-0.5730626455,"Donor_wo"
-1.0393181045,"Donor_wo"
-0.0531029504999999,"Donor_w"
0.2289622095,"Donor_wo"
-0.1468375595,"Donor_wo"
2.3945064025,"Donor_wo"
2.3326553025,"Donor_wo"
-0.761755052,"Donor_wo"
-0.107437856,"Donor_wo"
2.9753984265,"Donor_wo"
0.825472917,"Donor_w"
-0.1261714575,"Donor_wo"
2.7209193195,"Donor_wo"
-0.7478511315,"Donor_wo"
-0.5002816465,"Donor_wo"
-0.5078041355,"Donor_wo"
1.257999116,"Donor_wo"
-0.9701211595,"Donor_wo"
-0.238855189,"Donor_wo"
1.1860211915,"Donor_wo"
-0.432414553,"Donor_wo"
0.645964238,"Donor_wo"
-1.5097500485,"Donor_wo"
-0.5312379175,"Donor_wo"
2.3387023545,"Donor_wo"
-1.1654589885,"Donor_wo"
-0.299996934,"Donor_wo"
1.3583731255,"Donor_wo"
1.356265079,"Donor_wo"
-0.651378103,"Donor_wo"
-1.248511919,"Donor_wo"
0.2597179715,"Donor_wo"
1.4144124665,"Donor_wo"
1.302978681,"Donor_wo"
3.523093918,"Donor_wo"
-0.0191840390000001,"Donor_wo"
-0.4041075685,"Donor_wo"
-0.982313602,"Donor_wo"
